Department,JobRole,OverTime,JobSatisfaction,EnvironmentSatisfaction,Age_Group,Tenure_Group,Total_Employees,Attrition_Count,Attrition_Rate_Pct,AVG_Salary,Avg_Commute,Avg_Years_With_Manager,Avg_Training_Hours
Research & Development,Laboratory Technician,false,2,2,30 to 50,0-2 New Hires,1,0,0.0,2008.0,10.0,0.0,3.0
Research & Development,Laboratory Technician,true,4,2,30 to 50,6+ Veterans,1,1,100.0,2778.0,2.0,0.0,1.0
Research & Development,Laboratory Technician,false,2,3,30 to 50,6+ Veterans,5,0,0.0,3313.2,11.2,6.2,3.6
Research & Development,Laboratory Technician,true,2,1,Under 30,3-5 Mid-Tenure,1,1,100.0,2373.0,16.0,2.0,2.0
Research & Development,Laboratory Technician,true,3,2,30 to 50,6+ Veterans,1,0,0.0,5207.0,28.0,7.0,3.0
Research & Development,Laboratory Technician,false,4,3,30 to 50,6+ Veterans,3,0,0.0,3010.0,4.3,7.0,3.0
Research & Development,Laboratory Technician,false,2,3,Under 30,3-5 Mid-Tenure,1,0,0.0,3295.0,4.0,2.0,3.0
Research & Development,Laboratory Technician,true,3,4,30 to 50,0-2 New Hires,3,2,66.67,2637.0,12.3,0.7,2.0
Research & Development,Laboratory Technician,false,4,1,Under 30,6+ Veterans,1,0,0.0,4420.0,3.0,7.0,2.0
Research & Development,Laboratory Technician,true,4,4,Over 50,0-2 New Hires,1,1,100.0,2380.0,2.0,0.0,3.0
Research & Development,Laboratory Technician,true,1,2,Under 30,0-2 New Hires,2,2,100.0,2745.5,5.0,0.0,1.5
Research & Development,Laboratory Technician,false,3,4,Over 50,6+ Veterans,1,1,100.0,2339.0,7.0,8.0,4.0
Research & Development,Laboratory Technician,true,4,1,30 to 50,0-2 New Hires,1,1,100.0,2795.0,25.0,1.0,2.0
Research & Development,Laboratory Technician,true,3,1,Under 30,6+ Veterans,1,1,100.0,2886.0,7.0,2.0,4.0
Research & Development,Laboratory Technician,false,1,4,Under 30,0-2 New Hires,1,0,0.0,2341.0,2.0,0.0,6.0
Research & Development,Laboratory Technician,false,1,2,Under 30,3-5 Mid-Tenure,3,0,0.0,2350.0,9.3,2.3,2.7
Research & Development,Laboratory Technician,true,1,3,Under 30,0-2 New Hires,2,2,100.0,1999.5,7.0,0.0,4.0
Research & Development,Laboratory Technician,false,4,4,Over 50,0-2 New Hires,1,0,0.0,2450.0,6.0,2.0,4.0
Research & Development,Laboratory Technician,false,1,3,Under 30,6+ Veterans,3,0,0.0,3667.67,8.3,7.0,3.3
Research & Development,Laboratory Technician,false,1,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,2576.0,1.0,2.0,5.0
Research & Development,Laboratory Technician,false,2,3,30 to 50,3-5 Mid-Tenure,3,1,33.33,4197.67,13.0,3.0,2.3
Research & Development,Laboratory Technician,false,4,2,30 to 50,6+ Veterans,2,0,0.0,3069.5,11.5,10.0,2.5
Research & Development,Laboratory Technician,false,2,4,30 to 50,6+ Veterans,4,0,0.0,4156.5,9.0,4.5,3.0
Research & Development,Laboratory Technician,true,3,3,Under 30,0-2 New Hires,1,1,100.0,3441.0,5.0,2.0,3.0
Research & Development,Laboratory Technician,false,3,2,30 to 50,3-5 Mid-Tenure,3,0,0.0,3528.67,11.0,2.7,2.3
Research & Development,Laboratory Technician,false,4,1,30 to 50,0-2 New Hires,3,0,0.0,2540.33,4.3,0.0,3.3
Research & Development,Manager,false,3,3,30 to 50,6+ Veterans,1,0,0.0,15379.0,1.0,0.0,2.0
Research & Development,Manager,false,4,4,Over 50,6+ Veterans,1,0,0.0,17099.0,1.0,8.0,2.0
Research & Development,Manager,true,1,3,30 to 50,6+ Veterans,1,0,0.0,17068.0,10.0,10.0,3.0
Research & Development,Manager,false,1,4,Over 50,3-5 Mid-Tenure,1,0,0.0,19943.0,4.0,2.0,2.0
Research & Development,Manager,true,1,2,30 to 50,6+ Veterans,1,0,0.0,11916.0,17.0,8.0,2.0
Research & Development,Manager,true,3,4,Over 50,3-5 Mid-Tenure,1,0,0.0,14756.0,8.0,2.0,2.0
Research & Development,Manager,false,2,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,19926.0,11.0,4.0,5.0
Research & Development,Manager,false,2,2,30 to 50,0-2 New Hires,1,0,0.0,18061.0,25.0,0.0,4.0
Research & Development,Manager,false,4,3,30 to 50,0-2 New Hires,1,0,0.0,15202.0,4.0,2.0,3.0
Research & Development,Manager,false,4,4,Over 50,3-5 Mid-Tenure,1,0,0.0,16555.0,4.0,4.0,2.0
Research & Development,Manager,true,2,3,30 to 50,6+ Veterans,1,0,0.0,17123.0,13.0,2.0,4.0
Research & Development,Manager,false,3,1,30 to 50,0-2 New Hires,1,0,0.0,18711.0,4.0,0.0,2.0
Research & Development,Manager,false,4,3,30 to 50,6+ Veterans,3,0,0.0,19235.33,4.0,8.3,2.3
Research & Development,Manager,true,3,2,30 to 50,6+ Veterans,2,1,50.0,16403.5,8.0,6.5,2.5
Research & Development,Manager,true,2,1,30 to 50,6+ Veterans,1,1,100.0,11849.0,29.0,9.0,2.0
Research & Development,Manager,false,1,3,Over 50,6+ Veterans,1,0,0.0,16756.0,2.0,2.0,3.0
Research & Development,Manager,true,1,4,Over 50,6+ Veterans,1,0,0.0,19045.0,1.0,13.0,2.0
Research & Development,Manager,false,4,4,30 to 50,6+ Veterans,2,0,0.0,18302.5,15.5,5.0,3.0
Research & Development,Manager,false,1,1,30 to 50,6+ Veterans,2,0,0.0,17373.5,1.5,11.5,3.0
Research & Development,Manager,false,1,3,30 to 50,6+ Veterans,2,0,0.0,15410.5,4.5,10.5,5.0
Research & Development,Manager,false,3,2,30 to 50,6+ Veterans,1,0,0.0,17046.0,29.0,7.0,2.0
Research & Development,Manager,false,1,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,15402.0,1.0,2.0,3.0
Research & Development,Manager,true,1,4,Over 50,3-5 Mid-Tenure,1,1,100.0,19859.0,2.0,4.0,2.0
Research & Development,Manager,true,3,3,30 to 50,6+ Veterans,1,0,0.0,17861.0,2.0,10.0,3.0
Research & Development,Manager,false,1,1,Over 50,6+ Veterans,1,0,0.0,19566.0,7.0,10.0,5.0
Research & Development,Manager,false,1,4,30 to 50,6+ Veterans,2,0,0.0,17423.0,6.0,7.0,2.5
Research & Development,Manager,false,3,4,Over 50,6+ Veterans,2,0,0.0,18896.5,4.5,9.0,5.5
Research & Development,Manager,false,2,2,30 to 50,6+ Veterans,1,0,0.0,11996.0,22.0,2.0,6.0
Research & Development,Manager,true,4,4,30 to 50,0-2 New Hires,1,0,0.0,19513.0,3.0,1.0,2.0
Research & Development,Manager,true,4,3,Over 50,3-5 Mid-Tenure,1,0,0.0,16659.0,2.0,2.0,2.0
Research & Development,Manager,false,4,2,Over 50,6+ Veterans,1,0,0.0,16032.0,11.0,12.0,2.0
Research & Development,Manager,false,4,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,16885.0,1.0,1.0,3.0
Research & Development,Manager,false,3,1,30 to 50,6+ Veterans,2,0,0.0,19136.0,4.0,14.0,2.0
Research & Development,Manager,true,4,3,30 to 50,6+ Veterans,1,0,0.0,16752.0,2.0,0.0,3.0
Research & Development,Manager,false,4,2,30 to 50,6+ Veterans,1,0,0.0,18430.0,8.0,9.0,4.0
Research & Development,Manager,false,3,3,Over 50,6+ Veterans,2,0,0.0,19546.5,3.0,8.5,4.0
Research & Development,Manager,false,2,4,30 to 50,6+ Veterans,1,0,0.0,11878.0,5.0,8.0,2.0
Research & Development,Manager,false,3,4,30 to 50,6+ Veterans,1,0,0.0,19033.0,4.0,9.0,2.0
Research & Development,Manager,false,1,4,30 to 50,0-2 New Hires,1,0,0.0,17856.0,2.0,2.0,3.0
Research & Development,Manager,false,4,4,30 to 50,0-2 New Hires,1,0,0.0,19613.0,9.0,1.0,2.0
Research & Development,Manager,false,4,1,30 to 50,6+ Veterans,1,0,0.0,16792.0,2.0,8.0,1.0
Research & Development,Manager,false,3,1,Over 50,0-2 New Hires,1,0,0.0,13116.0,3.0,2.0,2.0
Research & Development,Manager,false,3,2,Over 50,6+ Veterans,1,0,0.0,17426.0,22.0,7.0,6.0
Research & Development,Manager,false,4,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,11244.0,10.0,0.0,5.0
Research & Development,Manufacturing Director,false,1,4,Over 50,3-5 Mid-Tenure,1,0,0.0,4450.0,13.0,3.0,3.0
Research & Development,Manufacturing Director,true,3,2,30 to 50,0-2 New Hires,2,1,50.0,8062.5,12.5,1.5,1.5
Research & Development,Manufacturing Director,false,4,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,6091.0,2.0,2.0,2.0
Research & Development,Manufacturing Director,false,4,2,30 to 50,6+ Veterans,3,0,0.0,6386.33,9.3,5.7,3.7
Research & Development,Manufacturing Director,true,1,1,30 to 50,6+ Veterans,1,0,0.0,5980.0,2.0,12.0,2.0
Research & Development,Manufacturing Director,true,3,2,Under 30,3-5 Mid-Tenure,1,1,100.0,4171.0,3.0,2.0,3.0
Research & Development,Manufacturing Director,false,2,3,30 to 50,6+ Veterans,5,1,20.0,8338.2,3.6,7.4,3.4
Research & Development,Manufacturing Director,true,4,3,30 to 50,6+ Veterans,1,0,0.0,7143.0,7.0,10.0,2.0
Research & Development,Manufacturing Director,false,3,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,6434.0,7.0,2.0,1.0
Research & Development,Manufacturing Director,true,4,4,30 to 50,6+ Veterans,1,0,0.0,6804.0,18.0,7.0,0.0
Research & Development,Manufacturing Director,true,4,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,6062.0,1.0,2.0,4.0
Research & Development,Manufacturing Director,false,2,3,30 to 50,3-5 Mid-Tenure,1,1,100.0,4855.0,2.0,4.0,2.0
Research & Development,Manufacturing Director,false,1,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,4148.0,1.0,3.0,1.0
Research & Development,Manufacturing Director,false,1,1,30 to 50,6+ Veterans,1,0,0.0,5151.0,9.0,9.0,3.0
Research & Development,Manufacturing Director,false,4,4,Under 30,6+ Veterans,1,0,0.0,5472.0,2.0,3.0,2.0
Research & Development,Manufacturing Director,true,2,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,5410.0,11.0,2.0,2.5
Research & Development,Manufacturing Director,false,3,1,30 to 50,6+ Veterans,6,0,0.0,6832.0,9.0,7.2,2.7
Research & Development,Manufacturing Director,false,2,4,Over 50,3-5 Mid-Tenure,3,0,0.0,9866.67,5.0,2.3,2.7
Research & Development,Manufacturing Director,true,4,2,Under 30,6+ Veterans,1,0,0.0,5056.0,8.0,2.0,2.0
Research & Development,Manufacturing Director,true,4,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,7945.0,16.0,3.0,2.0
Research & Development,Manufacturing Director,false,1,4,30 to 50,6+ Veterans,2,1,50.0,5085.0,6.0,8.5,3.5
Research & Development,Manufacturing Director,false,2,1,30 to 50,0-2 New Hires,1,0,0.0,4765.0,8.0,0.0,2.0
Research & Development,Manufacturing Director,false,1,3,Under 30,0-2 New Hires,1,0,0.0,4298.0,1.0,0.0,1.0
Research & Development,Manufacturing Director,true,2,2,Under 30,6+ Veterans,1,0,0.0,6142.0,4.0,3.0,0.0
Research & Development,Manufacturing Director,false,1,2,30 to 50,6+ Veterans,3,0,0.0,6539.67,7.3,8.7,3.3
Research & Development,Manufacturing Director,false,3,2,30 to 50,6+ Veterans,1,0,0.0,13237.0,6.0,13.0,3.0
Research & Development,Manufacturing Director,true,3,4,30 to 50,6+ Veterans,3,1,33.33,10279.0,18.3,9.0,2.3
Research & Development,Manufacturing Director,false,3,4,30 to 50,0-2 New Hires,2,0,0.0,5778.0,4.5,0.5,4.5
Research & Development,Manufacturing Director,true,4,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,9380.0,29.0,2.0,4.0
Research & Development,Manufacturing Director,false,2,2,30 to 50,6+ Veterans,3,0,0.0,5793.33,13.7,4.7,2.7
Research & Development,Manufacturing Director,false,4,3,30 to 50,0-2 New Hires,1,0,0.0,9362.0,18.0,2.0,2.0
Research & Development,Manufacturing Director,true,3,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,4663.0,12.0,1.0,2.0
Research & Development,Manufacturing Director,false,4,4,Under 30,0-2 New Hires,1,0,0.0,4775.0,1.0,2.0,2.0
Research & Development,Manufacturing Director,false,4,1,Over 50,3-5 Mid-Tenure,1,1,100.0,10650.0,8.0,3.0,2.0
Research & Development,Manufacturing Director,false,2,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,4941.0,6.0,1.0,0.0
Research & Development,Manufacturing Director,true,3,3,30 to 50,6+ Veterans,2,0,0.0,4881.0,12.5,7.0,3.0
Research & Development,Manufacturing Director,false,3,4,Under 30,3-5 Mid-Tenure,1,0,0.0,4377.0,17.0,2.0,6.0
Research & Development,Manufacturing Director,false,3,4,Under 30,6+ Veterans,2,0,0.0,4762.5,1.5,8.0,3.5
Research & Development,Manufacturing Director,false,3,3,30 to 50,6+ Veterans,6,0,0.0,8007.33,6.7,7.8,2.8
Research & Development,Manufacturing Director,false,3,3,30 to 50,3-5 Mid-Tenure,3,0,0.0,5126.0,13.7,2.7,3.0
Research & Development,Manufacturing Director,false,1,4,Under 30,6+ Veterans,1,0,0.0,8793.0,10.0,7.0,4.0
Research & Development,Manufacturing Director,false,3,3,Over 50,6+ Veterans,1,0,0.0,10739.0,17.0,8.0,2.0
Research & Development,Manufacturing Director,false,4,3,Over 50,6+ Veterans,2,1,50.0,11997.5,13.5,4.5,3.5
Research & Development,Manufacturing Director,false,3,4,Over 50,3-5 Mid-Tenure,1,0,0.0,10502.0,1.0,4.0,2.0
Research & Development,Manufacturing Director,false,2,4,Under 30,6+ Veterans,1,0,0.0,7655.0,3.0,7.0,3.0
Research & Development,Manufacturing Director,false,2,3,Under 30,6+ Veterans,2,0,0.0,6473.0,15.0,5.5,4.0
Research & Development,Manufacturing Director,false,4,4,30 to 50,6+ Veterans,9,0,0.0,7811.89,6.4,7.3,2.7
Research & Development,Manufacturing Director,false,3,2,Over 50,0-2 New Hires,1,0,0.0,6132.0,7.0,0.0,2.0
Research & Development,Manufacturing Director,false,3,4,30 to 50,6+ Veterans,4,0,0.0,9200.25,14.8,7.8,2.5
Research & Development,Manufacturing Director,false,1,2,Under 30,6+ Veterans,1,0,0.0,9980.0,21.0,8.0,1.0
Research & Development,Manufacturing Director,true,1,3,Over 50,3-5 Mid-Tenure,1,0,0.0,4440.0,10.0,4.0,3.0
Research & Development,Manufacturing Director,true,1,4,30 to 50,6+ Veterans,2,0,0.0,9143.0,23.0,8.0,3.5
Research & Development,Manufacturing Director,false,4,4,Over 50,6+ Veterans,2,0,0.0,8886.0,12.5,3.0,4.5
Research & Development,Manufacturing Director,false,4,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,5238.0,24.0,4.0,3.0
Research & Development,Manufacturing Director,false,3,3,30 to 50,0-2 New Hires,1,0,0.0,5258.0,7.0,0.0,2.0
Research & Development,Manufacturing Director,false,2,4,30 to 50,3-5 Mid-Tenure,3,0,0.0,4915.33,13.7,1.3,2.7
Research & Development,Manufacturing Director,false,1,2,Under 30,3-5 Mid-Tenure,1,0,0.0,4877.0,27.0,0.0,5.0
Research & Development,Manufacturing Director,false,4,1,30 to 50,6+ Veterans,1,0,0.0,7779.0,18.0,9.0,0.0
Research & Development,Manufacturing Director,true,1,3,Over 50,6+ Veterans,1,1,100.0,10008.0,7.0,9.0,0.0
Research & Development,Manufacturing Director,false,4,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,5070.0,2.0,4.0,2.0
Research & Development,Manufacturing Director,false,3,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,4203.5,1.5,2.0,4.5
Research & Development,Manufacturing Director,true,4,1,30 to 50,6+ Veterans,1,0,0.0,6162.0,1.0,8.0,3.0
Research & Development,Manufacturing Director,false,2,4,30 to 50,6+ Veterans,1,0,0.0,10903.0,25.0,8.0,2.0
Research & Development,Manufacturing Director,false,1,2,30 to 50,0-2 New Hires,1,0,0.0,5121.0,8.0,0.0,3.0
Research & Development,Manufacturing Director,true,2,3,30 to 50,6+ Veterans,2,0,0.0,7871.5,3.0,11.0,3.0
Research & Development,Manufacturing Director,true,1,4,Over 50,3-5 Mid-Tenure,1,0,0.0,5485.0,19.0,4.0,4.0
Research & Development,Manufacturing Director,true,1,2,30 to 50,0-2 New Hires,1,0,0.0,6516.0,8.0,0.0,3.0
Research & Development,Manufacturing Director,false,2,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,4325.0,1.0,3.0,2.0
Research & Development,Manufacturing Director,true,2,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,8847.0,9.0,2.0,2.0
Research & Development,Manufacturing Director,true,3,4,Over 50,3-5 Mid-Tenure,2,0,0.0,10608.0,15.5,3.0,3.5
Research & Development,Manufacturing Director,true,4,3,Over 50,3-5 Mid-Tenure,1,0,0.0,13726.0,2.0,3.0,4.0
Research & Development,Manufacturing Director,true,1,3,30 to 50,6+ Veterans,1,0,0.0,10252.0,1.0,7.0,2.0
Research & Development,Manufacturing Director,true,3,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,7756.0,2.0,2.0,6.0
Research & Development,Manufacturing Director,false,4,4,30 to 50,0-2 New Hires,1,0,0.0,9679.0,5.0,0.0,1.0
Research & Development,Manufacturing Director,true,2,3,30 to 50,0-2 New Hires,1,0,0.0,4197.0,10.0,1.0,2.0
Research & Development,Manufacturing Director,false,4,1,Under 30,3-5 Mid-Tenure,1,0,0.0,4227.0,2.0,2.0,2.0
Research & Development,Manufacturing Director,true,3,1,Over 50,3-5 Mid-Tenure,1,0,0.0,12965.0,1.0,2.0,2.0
Research & Development,Manufacturing Director,false,4,3,30 to 50,6+ Veterans,2,0,0.0,4574.0,9.0,5.0,2.5
Research & Development,Manufacturing Director,false,2,2,30 to 50,0-2 New Hires,1,0,0.0,8376.0,6.0,2.0,3.0
Research & Development,Manufacturing Director,false,4,4,Under 30,3-5 Mid-Tenure,1,0,0.0,4262.0,19.0,2.0,2.0
Research & Development,Manufacturing Director,true,2,4,Over 50,6+ Veterans,1,0,0.0,13402.0,23.0,9.0,0.0
Research & Development,Manufacturing Director,false,3,1,30 to 50,0-2 New Hires,1,1,100.0,10048.0,10.0,0.0,5.0
Research & Development,Manufacturing Director,false,2,1,30 to 50,6+ Veterans,1,0,0.0,13570.0,28.0,10.0,3.0
Research & Development,Manufacturing Director,true,4,3,30 to 50,0-2 New Hires,1,0,0.0,6877.0,2.0,0.0,4.0
Research & Development,Manufacturing Director,false,1,3,30 to 50,6+ Veterans,4,0,0.0,8517.25,17.5,4.3,1.5
Research & Development,Manufacturing Director,false,1,3,Under 30,6+ Veterans,1,0,0.0,7412.0,1.0,7.0,3.0
Research & Development,Manufacturing Director,true,3,3,30 to 50,0-2 New Hires,1,0,0.0,7861.0,1.0,0.0,4.0
Research & Development,Manufacturing Director,false,3,1,Under 30,3-5 Mid-Tenure,2,0,0.0,4454.5,6.0,2.5,4.0
Research & Development,Research Director,false,1,3,30 to 50,6+ Veterans,1,0,0.0,13348.0,6.0,7.0,3.0
Research & Development,Research Director,true,4,2,30 to 50,0-2 New Hires,1,0,0.0,16627.0,6.0,0.0,3.0
Research & Development,Research Director,false,2,4,30 to 50,6+ Veterans,3,0,0.0,16708.67,15.3,7.7,3.3
Research & Development,Research Director,false,1,4,30 to 50,6+ Veterans,3,0,0.0,14393.0,15.3,13.0,2.3
Research & Development,Research Director,false,4,3,30 to 50,6+ Veterans,2,0,0.0,15449.5,3.0,7.0,4.0
Research & Development,Research Director,true,4,3,30 to 50,0-2 New Hires,1,0,0.0,19328.0,2.0,2.0,3.0
Research & Development,Research Director,true,2,4,Over 50,6+ Veterans,1,1,100.0,19246.0,2.0,8.0,2.0
Research & Development,Research Director,false,3,1,30 to 50,3-5 Mid-Tenure,2,0,0.0,15762.5,4.5,1.5,2.5
Research & Development,Research Director,false,2,3,30 to 50,6+ Veterans,1,0,0.0,11957.0,1.0,12.0,3.0
Research & Development,Research Director,true,1,4,Over 50,6+ Veterans,1,0,0.0,19701.0,1.0,5.0,3.0
Research & Development,Research Director,false,4,4,30 to 50,0-2 New Hires,2,0,0.0,18946.0,1.0,1.0,1.5
Research & Development,Research Director,false,3,1,30 to 50,6+ Veterans,4,0,0.0,18052.0,3.5,7.8,2.8
Research & Development,Research Director,false,3,2,30 to 50,0-2 New Hires,1,0,0.0,13675.0,3.0,2.0,3.0
Research & Development,Research Director,true,1,4,30 to 50,0-2 New Hires,1,0,0.0,13245.0,6.0,0.0,3.0
Research & Development,Research Director,false,4,2,Over 50,6+ Veterans,1,0,0.0,14732.0,1.0,0.0,4.0
Research & Development,Research Director,false,3,3,Over 50,3-5 Mid-Tenure,1,0,0.0,14814.0,7.0,3.0,3.0
Research & Development,Research Director,false,4,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,19161.0,2.0,3.0,3.0
Research & Development,Research Director,true,1,2,30 to 50,6+ Veterans,1,0,0.0,11416.0,8.0,7.0,4.0
Research & Development,Research Director,false,2,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,19081.0,15.0,3.0,2.0
Research & Development,Research Director,false,1,1,Over 50,3-5 Mid-Tenure,1,0,0.0,19406.0,5.0,2.0,4.0
Research & Development,Research Director,false,4,4,Over 50,6+ Veterans,3,0,0.0,16460.67,9.0,8.0,1.7
Research & Development,Research Director,false,1,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,17159.0,14.0,0.0,3.0
Research & Development,Research Director,true,4,3,30 to 50,6+ Veterans,3,0,0.0,13221.67,15.7,8.7,2.3
Research & Development,Research Director,false,3,3,30 to 50,6+ Veterans,4,0,0.0,14987.75,11.5,8.8,2.5
Research & Development,Research Director,true,1,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,18665.0,10.0,2.0,4.0
Research & Development,Research Director,true,2,1,30 to 50,6+ Veterans,1,0,0.0,18172.0,1.0,7.0,1.0
Research & Development,Research Director,true,3,2,30 to 50,6+ Veterans,2,0,0.0,18988.5,4.5,7.5,2.0
Research & Development,Research Director,false,4,4,Under 30,6+ Veterans,1,0,0.0,16124.0,1.0,7.0,2.0
Research & Development,Research Director,true,4,1,30 to 50,6+ Veterans,1,0,0.0,13458.0,1.0,12.0,1.0
Research & Development,Research Director,false,3,3,30 to 50,3-5 Mid-Tenure,2,0,0.0,15551.5,6.0,2.5,3.0
Research & Development,Research Director,false,3,1,Over 50,6+ Veterans,1,0,0.0,19537.0,6.0,15.0,5.0
Research & Development,Research Director,false,3,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,18300.0,5.0,1.0,2.0
Research & Development,Research Director,false,1,2,30 to 50,6+ Veterans,1,0,0.0,17007.0,15.0,9.0,3.0
Research & Development,Research Director,false,4,1,30 to 50,0-2 New Hires,1,0,0.0,15992.0,23.0,0.0,2.0
Research & Development,Research Director,true,4,3,Under 30,6+ Veterans,1,0,0.0,12808.0,5.0,8.0,3.0
Research & Development,Research Director,false,3,2,30 to 50,6+ Veterans,4,1,25.0,16555.75,9.5,10.5,2.3
Research & Development,Research Director,true,3,4,30 to 50,6+ Veterans,1,0,0.0,19502.0,18.0,9.0,5.0
Research & Development,Research Director,false,1,3,Over 50,0-2 New Hires,1,0,0.0,19038.0,2.0,0.0,2.0
Research & Development,Research Director,true,4,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,13603.0,1.0,2.0,2.0
Research & Development,Research Director,false,3,1,Over 50,3-5 Mid-Tenure,1,0,0.0,13549.0,2.0,3.0,5.0
Research & Development,Research Director,true,1,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,16880.0,28.0,2.0,2.0
Research & Development,Research Director,false,2,3,Over 50,6+ Veterans,1,0,0.0,18722.0,14.0,15.0,3.0
Research & Development,Research Director,false,2,1,30 to 50,3-5 Mid-Tenure,2,0,0.0,16417.5,15.0,1.0,2.5
Research & Development,Research Director,true,3,1,Over 50,0-2 New Hires,1,0,0.0,15787.0,15.0,2.0,3.0
Research & Development,Research Director,false,4,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,17399.0,1.0,3.0,1.0
Research & Development,Research Director,false,3,2,Under 30,6+ Veterans,1,0,0.0,11935.0,3.0,7.0,2.0
Research & Development,Research Director,false,1,1,30 to 50,6+ Veterans,1,0,0.0,11713.0,8.0,5.0,2.0
Research & Development,Research Director,true,3,3,Over 50,3-5 Mid-Tenure,1,0,0.0,17584.0,3.0,3.0,5.0
Research & Development,Research Director,false,2,1,30 to 50,6+ Veterans,4,0,0.0,14383.75,12.0,6.8,3.3
Research & Development,Research Director,false,2,2,Over 50,6+ Veterans,1,0,0.0,12490.0,8.0,7.0,5.0
Research & Development,Research Director,true,4,2,30 to 50,6+ Veterans,2,0,0.0,15617.0,9.0,8.5,2.5
Research & Development,Research Director,true,1,1,30 to 50,0-2 New Hires,1,0,0.0,13191.0,26.0,0.0,6.0
Research & Development,Research Director,false,2,4,Over 50,6+ Veterans,1,0,0.0,16598.0,2.0,8.0,2.0
Research & Development,Research Scientist,true,1,2,30 to 50,6+ Veterans,3,1,33.33,3347.33,15.3,5.0,2.7
Research & Development,Research Scientist,false,4,2,30 to 50,0-2 New Hires,1,0,0.0,5484.0,1.0,1.0,3.0
Research & Development,Research Scientist,true,4,3,Under 30,0-2 New Hires,1,1,100.0,2853.0,3.0,0.0,5.0
Research & Development,Research Scientist,false,3,4,Over 50,0-2 New Hires,1,1,100.0,2479.0,2.0,0.0,4.0
Research & Development,Research Scientist,false,2,4,Under 30,0-2 New Hires,3,0,0.0,2318.67,3.7,1.0,1.3
Research & Development,Research Scientist,true,4,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,4930.0,2.0,4.0,2.0
Research & Development,Research Scientist,false,3,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,2627.5,4.5,3.5,2.5
Research & Development,Research Scientist,true,3,4,30 to 50,6+ Veterans,2,0,0.0,3953.5,2.5,3.5,2.5
Research & Development,Research Scientist,true,3,4,Under 30,6+ Veterans,1,1,100.0,2394.0,17.0,7.0,2.0
Research & Development,Research Scientist,false,2,2,Under 30,3-5 Mid-Tenure,1,0,0.0,2226.0,2.0,2.0,3.0
Research & Development,Research Scientist,true,3,1,30 to 50,3-5 Mid-Tenure,3,2,66.67,3013.67,11.3,2.0,2.0
Research & Development,Research Scientist,true,3,2,Under 30,0-2 New Hires,1,0,0.0,2933.0,1.0,0.0,3.0
Research & Development,Research Scientist,true,2,1,Under 30,0-2 New Hires,1,1,100.0,1859.0,10.0,0.0,2.0
Research & Development,Research Scientist,true,4,1,Under 30,3-5 Mid-Tenure,1,1,100.0,3464.0,2.0,2.0,4.0
Research & Development,Research Scientist,true,4,1,30 to 50,6+ Veterans,1,0,0.0,6322.0,9.0,5.0,2.0
Research & Development,Research Scientist,false,1,4,30 to 50,6+ Veterans,4,0,0.0,4300.25,3.0,5.5,3.0
Research & Development,Research Scientist,true,3,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,2127.0,5.0,3.0,5.0
Research & Development,Research Scientist,false,2,1,30 to 50,0-2 New Hires,1,1,100.0,1261.0,8.0,0.0,3.0
Research & Development,Research Scientist,false,4,3,Over 50,0-2 New Hires,2,0,0.0,2450.0,2.0,0.0,3.0
Research & Development,Research Scientist,true,4,3,Under 30,6+ Veterans,1,0,0.0,2875.0,4.0,2.0,2.0
Research & Development,Research Scientist,true,4,2,Under 30,3-5 Mid-Tenure,1,0,0.0,2168.0,15.0,3.0,2.0
Research & Development,Research Scientist,false,2,4,Under 30,6+ Veterans,2,0,0.0,2785.0,9.5,2.0,2.0
Research & Development,Research Scientist,true,2,3,30 to 50,3-5 Mid-Tenure,1,1,100.0,2342.0,1.0,3.0,2.0
